Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.17253427734385696,49.109844,1.05206,1.059852,1.110272,0.0,105.0,95.0,0.0,0.0,48.217438,187.501587,6.039318246687054,19.137701
-0.16747446289036816,49.077503,1.05131,1.052121,1.103343,0.0,105.0,95.0,0.0,0.0,48.277039,187.461151,6.07922752293578,20.410404
-0.16243735351554278,49.059952,1.033875,1.056624,1.110708,0.0,105.0,95.0,0.0,0.0,48.246758,187.411118,6.089205606523954,20.928913
-0.15630844726547366,49.088497,1.042025,0.99514,1.119015,0.0,105.0,95.0,0.0,0.0,48.253494,187.487823,6.080653924566769,18.666328
-0.15067246093758513,49.139763,1.03651,1.040865,1.101703,0.0,105.0,95.0,0.0,0.0,48.280495,187.49321,6.112011416921509,20.080444
-0.14531455078122235,49.091019,1.012618,1.053517,1.071249,0.0,105.0,95.0,0.0,0.0,48.257351,187.326569,6.049294801223241,21.541697
-0.1395025390625051,49.0658,1.062863,1.046641,1.090673,0.0,105.0,95.0,0.0,0.0,48.287178,187.435287,6.015086238532109,19.891895
-0.1344876464841036,49.082085,1.041868,1.062209,1.09912,0.0,105.0,95.0,0.0,0.0,48.251503,187.457901,5.995131600407747,19.514797
-0.12861557617179642,49.095009,1.010315,1.002121,1.102244,0.0,105.0,95.0,0.0,0.0,48.250267,187.471344,6.053570744138633,20.127581
-0.1235025390624287,49.079262,1.026405,0.997688,1.117654,0.0,105.0,95.0,0.0,0.0,48.284523,187.351746,6.072100611620795,19.703346
-0.1182535156249287,49.094673,1.020088,1.036973,1.097811,0.0,105.0,95.0,0.0,0.0,48.181957,187.484467,6.116287257900101,19.750484
-0.11248764648416909,49.110477,1.0174,1.040865,1.117584,0.0,105.0,95.0,0.0,0.0,48.222393,187.500732,6.119138430173293,20.174719
-0.10680869140605864,49.087845,1.032479,1.020114,1.108561,0.0,105.0,95.0,0.0,0.0,48.272045,187.426483,6.080653924566769,19.373386
-0.10148569335933644,49.06424,1.045184,1.063256,1.12357,0.0,105.0,95.0,0.0,0.0,48.216618,187.454163,5.995131600407747,19.609072
-0.09636679687491778,49.087769,1.032531,1.056851,1.134583,0.0,105.0,95.0,0.0,0.0,48.245239,187.505478,5.970899490316003,19.98617
-0.09050278320319194,49.122322,1.020751,1.063168,1.095176,0.0,105.0,95.0,0.0,0.0,48.174927,187.515244,5.955220693170235,19.043427
-0.08459482421858411,49.056015,1.032828,1.019468,1.118561,0.0,105.0,95.0,0.0,0.0,48.226479,187.326721,5.976601732925585,19.844759
-0.0794888671875924,49.058678,1.07117,1.013412,1.118841,0.0,105.0,95.0,0.0,0.0,48.226654,187.466171,5.93384128440367,19.609072
-0.07447983398424185,49.087475,1.099024,1.060254,1.124635,0.0,105.0,95.0,0.0,0.0,48.129723,187.479874,5.968049949031601,18.194956
-0.06848789062496508,48.913128,1.032444,1.070969,1.107497,0.0,105.0,95.0,0.0,0.0,48.178066,187.464249,5.968049949031601,18.572054
-0.06260483398409633,48.731384,1.047488,0.981388,1.124513,0.0,105.0,95.0,0.0,0.0,48.174332,187.324753,6.027915392456676,17.440762
-0.05646787109390061,48.38726,1.044364,1.032034,1.066903,0.0,105.0,95.0,0.0,0.0,48.176182,187.481644,5.958071865443426,19.373386
-0.05048789062493597,48.216068,1.055149,1.011981,1.103081,0.0,105.0,95.0,0.0,0.0,48.179741,187.488251,5.885378695208971,19.043427
-0.044488867187283176,47.853172,1.048046,1.067549,1.165141,0.0,105.0,95.0,0.0,0.0,48.125118,187.335419,5.848318960244647,17.676447
-0.038746923828057334,47.750301,1.033543,1.048753,1.154618,0.0,105.0,95.0,0.0,0.0,48.151241,187.72377,5.788453516819572,19.65621
-0.033487890625110595,47.412178,1.03213,1.046955,1.192628,0.005201,105.0,95.0,0.0,0.0,48.1744,187.428406,5.825513251783892,15.696685
-0.027484960937272263,47.247112,1.050071,1.039573,1.229993,0.005201,105.0,95.0,0.0,0.0,48.152203,187.460297,5.816961467889908,18.28923
-0.022416113280996797,47.133335,1.100699,1.055699,1.252699,0.009987,105.0,95.0,0.0,0.0,48.149078,187.363159,5.869700000000001,17.393623
-0.016592138671967405,46.935734,1.078919,1.092383,1.434113,0.009987,105.0,95.0,0.0,0.0,48.114155,187.557281,5.846894189602447,9.427439
-0.01142807617179642,46.898422,1.051449,1.032191,1.552683,0.015189,105.0,95.0,0.0,0.0,48.072796,187.482925,5.856870744138635,7.306265
